"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Webb, Logan","657277","92.8","92.6","91",,"86.5",,,,"84.6",
"Rodón, Carlos","607074","94.1","91.9","92.4","85.9","85","80.3",,,,
"Crochet, Garrett","676979","96.4","96","90.9",,"87.7",,"93.1",,"82.8",
"Gallen, Zac","668678","93.5","93.2","92.4","88.7","86.3","81.1",,,,
"Fried, Max","608331","95.9","94","93.6","85.5","85.2","75.2",,,"81.5",
"Kikuchi, Yusei","579328","94.8","92.9",,"87","85.6","79.9",,,"80.8",
"Peralta, Freddy","642547","94.8",,,"83.8","88.9","78.8",,,"80.2",
"Ray, Robbie","592662","93.6","94",,"87.9","84.8","81.2",,,"80",
"Cease, Dylan","656302","97.1","95.8",,"89.1","78.3","82.3",,,"84.3",
"Gausman, Kevin","592332","94.5","93.7",,"83.2",,,"84.9",,,
"Luzardo, Jesús","666200","96.5","95.8",,"86.6","87.9",,,,"86.1",
"Skenes, Paul","694973","98.2","97.6",,"85.3","88.7","83.9","93.7",,"84.5",
"Castillo, Luis","622491","95","94.8",,"84.5","87.2",,,,,
"Bibee, Tanner","676440","94.4","94.1","86.2",,"81.8","79.7",,,"83",
"Brown, Hunter","686613","96.6","95.7","93.4","91.4","88.2","83.5",,,,
"Irvin, Jake","663623","92.4","91.9","87.3","83.6","85.6","77.8",,,,
"Williams, Gavin","668909","96.6","95.9","91.8",,"87.6","82",,,"86.5",
"Pfaadt, Brandon","694297","93.6","93.1","89.8",,"87.3","82",,,"84.7",
"Sánchez, Cristopher","650911",,"95.4",,"85.7","86.3",,,,,
"Alcantara, Sandy","645261","97.7","97.1","89.3","85.3","90.4",,,,,
"Valdez, Framber","664285","95.5","94.2",,"84.4","89.8","79.4",,,,
"Keller, Mitch","656605","94.1","92.9","92.4","86.9","89.2","77.4",,,"82.3",
"Pivetta, Nick","601713","93.8","93.3","90.3","86.9",,"79","87.3",,"81.9",
"Singer, Brady","663903","91.3","92.2","87.5","82.6",,,,,"81.6",
"Skubal, Tarik","669373","97.6","97.3",,"90","88","81.2","89.3",,,
"Springs, Jeffrey","605488","90.7",,"86.9","83.5","79.1",,,,"76.2",
"Kelly, Merrill","518876","91.9","92.3","90.6","85.8","88.3","81.7",,,,
"Flaherty, Jack","656427","92.9","90.7",,"84.9","85.8","77.8",,,,
"Bassitt, Chris","605135","91.5","91.6","88.5","83.6","84.5","71.3","83.4",,"72.6",
"Gore, MacKenzie","669022","95.3",,"90.3","86.7","86.2","81.6",,,,
"Warren, Will","701542","93.3","93.2",,,"87","80.2",,,"82.7",
"Ryan, Joe","657746","93.7","93.2",,"87.9",,"79.1","87.6",,"80.6",
"Yamamoto, Yoshinobu","808967","95.4","94.8","91.1","86.3",,"76.8","90.9",,"84.2",
"Littell, Zack","641793","92.1","91.5",,"87.3",,,"83.4",,"79.5",
"Soriano, José","667755","97.9","97.2",,"89.2","86.9","85.2","92.3",,,
"Holmes, Clay","605280","93.2","93.7","89.8","85.3","88.1",,,,"81.9",
"Boyd, Matthew","571510","93.3","91.5",,"82","78.7","73.5",,,,
"Severino, Luis","622663","96.1","95.6","93.2","87","86.2",,,,"84.5",
"Pallante, Andre","669467","94.5","95",,"87.4",,"78.2",,,"83",
"Gray, Sonny","543243","91.7","92.4","87.8","84.4","86.2","80.2",,,"85.1",
"Baz, Shane","669358","97",,"90.2","86.7","89.3","85",,,,
"Woo, Bryan","693433","95.7","95.4",,"88.4","89.6",,,,"84.9",
"Parker, Mitchell","680730","93",,,"85",,"81.1","85.4",,,
"Peterson, David","656849","92.3","91.3",,"84.6","84.6","78.7",,,,
"Pepiot, Ryan","686752","95.2","94.7","91.6","89","86.8","80.8",,,,
"Kremer, Dean","665152","93.3","92.8","86.9","83.9",,"78.3","81.9",,,
"Abbott, Andrew","671096","92.8",,"88.6",,"84.8","80.6",,,"82.7",
"Wacha, Michael","608379","93.1","93.2","88.2","84.9","79.8","75.1",,,,
"Bello, Brayan","678394","95.1","95.3","88.2",,"88.7",,,,"85.7",
"Allen, Logan","671106","91.2","89","85.7","83.4","82.4",,,,"78.1",
"deGrom, Jacob","594798","97.5",,,"90.4","89.8","80.9",,,,
"Verlander, Justin","434378","93.9","93.3",,"87.1","84.7","78.5",,,"80.7",
"Corbin, Patrick","571578","91.2","91.6","87.5","80.4","81.6","68.7",,,,
"Rodriguez, Eduardo","593958","92","91.5","89.2","84.6","85.9","79.4",,,,
"Leiter, Jack","683004","97.3","96.1",,"87.6","90.7","81.9",,,,
"Berríos, José","621244","93","92.2","89.5",,"85.2",,,,,"82.6"
"Martinez, Nick","607259","92.6","92.5","89.1","85","78.5","79.8",,,,
"Hendricks, Kyle","543294","86.5","86.2",,,"79.5","72.2",,,,
"Paddack, Chris","663978","93.7","93.4","87.3","84.8","84.5","78.2",,,,
"Sugano, Tomoyuki","608372","92.7","92.9","88.2",,,"78.2","87.3",,"83.6",
"Morton, Charlie","450203","94.2","94","88",,"87.5","81.4",,,,
"Rea, Colin","607067","93.9","93","88.2","85.2","87.4","80.3",,,"82.8",
"Elder, Bryce","693821","92.8","91.5",,"84.3","86.6",,,,,
"Freeland, Kyle","607536","91.6","91.3","87.3",,"86.4","82.6",,,"83.6",
"Mikolas, Miles","571945","93","92.4",,"87.8","85.9","76",,,"80.7",
"Lodolo, Nick","666157","93.9","93.7",,,"87.9","81.9",,,,
"Priester, Quinn","682990",,"93.9","92.3","86.1","88.4","81",,,,
"Nelson, Ryne","669194","95.7",,"91","86.6","87","80",,,,
"Suarez, Ranger","624133","91.3","90.1","86.4","79.6","79.5","73.9",,,,
"Smith, Shane","681343","95.7","95.7",,"89.5","90","82.1",,,"88.1",
"Wheeler, Zack","554430","96.1","95.4","91.8",,,"81.1","87.1",,"83.7",
"Liberatore, Matthew","669461","93.9","94","90.2","86.4","88.4","77.4",,,,
"Lugo, Seth","607625","91.7","91.3","89.2","83.1","86.2","77.3","84.4",,"80.6","79"
"Burke, Sean","680732","94.4","94",,"86.6","85.7","79.7",,,,
"Fedde, Erick","607200","92.8","93.2","90.3",,"87.6",,,,"82.6",
"Giolito, Lucas","608337","93.3",,,"86","81.7","78.6",,,,
"Sears, JP","676664","92.2","90.4","88","80.7","83.4","79.5",,,"79.2",
"Ober, Bailey","641927","90.3","90.3",,"83.7","83.3","75.1",,,"78.4",
"Mize, Casey","663554","94.6","94.8",,"88.2",,,"88.6",,,"83.6"
"Anderson, Tyler","542881","89.3","88.5","84.4","80.7","78.7","69.2",,,,
"Lorenzen, Michael","547179","93.9","92.9","90.2","85.2","83.7","82.2",,,"82.3",
"Rasmussen, Drew","656876","95.8","95.4","90.3","84.6","89.4","80.4",,,"84.6",
"Martin, Davis","663436","94","93","90","88.1","90.2","78.8",,,"83.4",
"Senzatela, Antonio","622608","95","92.2","91.2","86.8","87.6","80.4",,,,
"Bradley, Taj","671737","96.2","96","89.6",,,"81.8","91.2",,,
"Cabrera, Edward","665795","97","96.9",,"88.5","94.2","84",,,,
"Buehler, Walker","621111","94","93.8","90.6","87.5","89.7","77.4",,,"80.9",
"Imanaga, Shota","684007","90.8","88.2",,"81.7",,"71.6","83",,"80.3",
"Quintana, Jose","500779","90.4","90.5",,,"85.6","78.2",,,,"78.5"
"May, Dustin","669160","95.4","94.5","91.4",,"89.4",,,,"85.2",
"Cameron, Noah","702070","92.3",,"88.2","84.1","81.3","80.9",,,,
"Gilbert, Logan","669302","95.4","94.9",,"87.5",,"82.1","81.8",,,
"Vásquez, Randy","681190","93.5","93.1","90.2","85.8","86.9","81.2",,,"82.1",
"Lord, Brad","695418","94.8","94.3",,"85.5","85.9",,,,"82.3",
"Strider, Spencer","675911","95.5",,,"84.1","85.9","78.4",,,,
"Kirby, George","669923","96.1","96.3",,,"87.8","84.3","86",,"87.1",
"Márquez, Germán","608566","94.8","94.2",,"88.8","88.5","85.5",,,,
"Heaney, Andrew","571760","90.1","89.2",,"80.5","82","75.2",,,,
"Cecconi, Slade","677944","94.3","93.6","88.8","84.2","84.3","75.5",,,"83.6",
"Walker, Taijuan","592836","92.2","92","87.1","83.6",,"74.9","87.4",,,
"Sale, Chris","519242","94.8","94",,"79.1","86.8",,,,,
"Patrick, Chad","694477","94.2","94.1","87.9","84.2","88.7",,,,,"85.8"
"Quantrill, Cal","615698","93.7","93.7","88.9","85","87.8","79.9","86.3",,,
"Taillon, Jameson","592791","92.3","92.3","85.8",,"84","79.7",,,"80.2",
"Povich, Cade","700249","92.2","91.9","91.5","83.9","83.6","78.9",,,"82.7",
"Holmes, Grant","656550","94.5","93.9","92.1","85.4","90.2","83.5",,,,
