Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,CC Sabathia*,27,2TM,2LG,6.7,17,10,.630,2.70,35,35,0,10,5,0,253.0,223,85,76,19,59,1,251,7,2,2,1023,156,2.91,1.115,7.9,0.7,2.1,8.9,4.25,CYA-5MVP-6,sabatc.01
1,CC Sabathia*,27,CLE,AL,1.9,6,8,.429,3.83,18,18,0,3,2,0,122.1,117,54,52,13,34,1,123,3,2,1,507,111,3.41,1.234,8.6,1.0,2.5,9.0,3.62,,sabatc.01
1,CC Sabathia*,27,MIL,NL,4.9,11,2,.846,1.65,17,17,0,7,3,0,130.2,106,31,24,6,25,0,128,4,0,1,516,255,2.44,1.003,7.3,0.4,1.7,8.8,5.12,,sabatc.01
2,Roy Halladay,31,TOR,AL,6.2,20,11,.645,2.78,34,33,0,9,2,0,246.0,220,88,76,18,39,3,206,12,0,4,987,152,3.03,1.053,8.0,0.7,1.4,7.5,5.28,ASCYA-2,hallaro01
3,Johan Santana*,29,NYM,NL,7.1,16,7,.696,2.53,34,34,0,3,2,0,234.1,206,74,66,23,63,5,206,4,2,9,964,166,3.51,1.148,7.9,0.9,2.4,7.9,3.27,CYA-3MVP-14,santajo02
4,Cole Hamels*,24,PHI,NL,4.3,14,10,.583,3.09,33,33,0,2,2,0,227.1,193,89,78,28,53,7,196,1,0,0,914,141,3.72,1.082,7.6,1.1,2.1,7.8,3.70,,hamelco01
5,Tim Lincecum,24,SFG,NL,7.8,18,5,.783,2.62,34,33,0,2,1,0,227.0,182,72,66,11,84,1,265,6,2,17,928,168,2.62,1.172,7.2,0.4,3.3,10.5,3.15,ASCYA-1MVP-23,linceti01
6,Brandon Webb,29,ARI,NL,5.6,22,7,.759,3.30,34,34,0,3,1,0,226.2,206,95,83,13,65,5,183,12,1,8,944,140,3.28,1.196,8.2,0.5,2.6,7.3,2.82,ASCYA-2MVP-17,webbbr01
7,Cliff Lee*,29,CLE,AL,6.8,22,3,.880,2.54,31,31,0,4,2,0,223.1,214,68,63,12,34,1,170,5,0,4,891,167,2.83,1.110,8.6,0.5,1.4,6.9,5.00,ASCYA-1MVP-12,leecl02
8,A.J. Burnett,31,TOR,AL,2.4,18,10,.643,4.07,35,34,1,1,0,0,221.1,211,109,100,19,86,2,231,9,2,11,957,104,3.45,1.342,8.6,0.8,3.5,9.4,2.69,,burnea.01
9,Ervin Santana,25,LAA,AL,5.1,16,7,.696,3.49,32,32,0,2,1,0,219.0,198,89,85,23,47,2,214,8,1,5,897,127,3.30,1.119,8.1,0.9,1.9,8.8,4.55,ASCYA-6,santaer01
10,Mark Buehrle*,29,CHW,AL,4.4,15,12,.556,3.79,34,34,0,1,0,0,218.2,240,106,92,22,52,4,140,5,0,4,918,121,3.94,1.335,9.9,0.9,2.1,5.8,2.69,,buehrma01
11,Matt Cain,23,SFG,NL,4.5,8,14,.364,3.76,34,34,0,1,1,0,217.2,206,95,91,19,91,9,186,7,2,7,933,117,3.91,1.364,8.5,0.8,3.8,7.7,2.04,,cainma01
12,Dan Haren,27,ARI,NL,6.1,16,8,.667,3.33,33,33,0,1,1,0,216.0,204,86,80,19,40,4,206,6,0,11,881,138,3.01,1.130,8.5,0.8,1.7,8.6,5.15,AS,harenda01
13,James Shields,26,TBR,AL,3.9,14,8,.636,3.56,33,33,0,3,2,0,215.0,208,94,85,24,40,0,160,12,0,6,877,124,3.82,1.153,8.7,1.0,1.7,6.7,4.00,,shielja02
14,Ricky Nolasco,25,FLA,NL,4.2,15,8,.652,3.52,34,32,0,1,1,0,212.1,192,88,83,28,42,6,186,6,3,1,868,124,3.77,1.102,8.1,1.2,1.8,7.9,4.43,,nolasri01
15,Aaron Cook,29,COL,NL,4.4,16,9,.640,3.96,32,32,0,2,1,0,211.1,236,102,93,13,48,2,96,4,0,6,886,118,3.76,1.344,10.1,0.6,2.0,4.1,2.00,AS,cookaa01
16,Derek Lowe,35,LAD,NL,4.5,14,11,.560,3.24,34,34,0,1,0,0,211.0,194,84,76,14,45,7,147,1,0,2,851,129,3.26,1.133,8.3,0.6,1.9,6.3,3.27,,lowede01
17,Jon Lester*,24,BOS,AL,6.1,16,6,.727,3.21,33,33,0,2,2,0,210.1,202,78,75,14,66,1,152,10,1,3,874,144,3.64,1.274,8.6,0.6,2.8,6.5,2.30,,lestejo01
18,Gil Meche,29,KCR,AL,4.9,14,11,.560,3.98,34,34,0,0,0,0,210.1,204,98,93,19,73,2,183,0,0,5,886,109,3.61,1.317,8.7,0.8,3.1,7.8,2.51,,mechegi01
19,Roy Oswalt,30,HOU,NL,3.9,17,10,.630,3.54,32,32,0,3,2,0,208.2,199,89,82,23,47,2,165,10,0,1,862,119,3.80,1.179,8.6,1.0,2.0,7.1,3.51,,oswalro01
20,Javier Vázquez,31,CHW,AL,3.1,12,16,.429,4.67,33,33,0,1,0,0,208.1,214,113,108,25,61,2,200,6,0,2,890,98,3.74,1.320,9.2,1.1,2.6,8.6,3.28,,vazquja01
21,Ryan Dempster,31,CHC,NL,6.9,17,6,.739,2.96,33,33,0,1,0,0,206.2,174,75,68,14,76,1,187,7,0,5,856,154,3.41,1.210,7.6,0.6,3.3,8.1,2.46,ASCYA-6,dempsry01
22,Gavin Floyd,25,CHW,AL,3.5,17,8,.680,3.84,33,33,0,1,0,0,206.1,190,107,88,30,70,6,145,9,0,9,878,119,4.77,1.260,8.3,1.3,3.1,6.3,2.07,,floydga01
23,Paul Maholm*,26,PIT,NL,4.0,9,9,.500,3.71,31,31,0,1,0,0,206.1,201,89,85,21,63,2,139,9,1,2,853,113,4.15,1.279,8.8,0.9,2.7,6.1,2.21,,maholpa01
24,Ted Lilly*,32,CHC,NL,4.0,17,9,.654,4.09,34,34,0,0,0,0,204.2,187,96,93,32,64,2,184,7,4,4,861,112,4.41,1.226,8.2,1.4,2.8,8.1,2.88,,lillyte01
25,Andy Pettitte*,36,NYY,AL,2.2,14,14,.500,4.54,33,33,0,0,0,0,204.0,233,112,103,19,55,4,158,7,1,6,881,97,3.71,1.412,10.3,0.8,2.4,7.0,2.87,,pettian01
26,Zack Greinke,24,KCR,AL,5.2,13,10,.565,3.47,32,32,0,1,0,0,202.1,202,87,78,21,56,1,183,4,1,8,851,125,3.56,1.275,9.0,0.9,2.5,8.1,3.27,,greinza01
27,Scott Olsen*,24,FLA,NL,1.6,8,11,.421,4.20,33,33,0,0,0,0,201.2,195,106,94,30,69,13,113,3,0,5,855,104,5.02,1.309,8.7,1.3,3.1,5.0,1.64,,olsensc01
28,Justin Verlander,25,DET,AL,1.8,11,17,.393,4.84,33,33,0,1,0,0,201.0,195,119,108,18,87,8,163,14,3,6,880,92,4.18,1.403,8.7,0.8,3.9,7.3,1.87,,verlaju01
29,Chad Billingsley,23,LAD,NL,4.8,16,10,.615,3.14,35,32,1,1,1,0,200.2,188,76,70,14,80,6,201,8,0,10,859,133,3.35,1.336,8.4,0.6,3.6,9.0,2.51,,billich01
